nstep,msd_oh,msd_ohx,msd_ohy,msd_ohz
37,0.4726763820486177,0.3410908189686357,0.07237407399048994,0.05921148908949207
38,0.42475097128051326,0.305609499087768,0.06041615537712037,0.058725316815624866
39,0.38735021672508646,0.2453834714150415,0.07129682331462245,0.07066992199542249
40,0.34880221799386757,0.18721115165532162,0.0837935061563664,0.07779756018217956
41,0.30675262230032946,0.12681523662101288,0.09634565819224095,0.08359172748707562
42,0.28118215062526797,0.06999010994547349,0.1113470940538944,0.0998449466259001
43,0.2806609233772962,0.04078858077694877,0.11416056303990253,0.1257117795604449
44,0.2670783944456645,0.030654470086272333,0.1016389808195161,0.13478494353987608
45,0.25423089955483075,0.03030854674224989,0.09193493966006243,0.1319874131525184
46,0.2549267861722985,0.028178392998924048,0.09506368280952003,0.13168471036385443
47,0.25392868680163305,0.02343962837200356,0.10293500739121957,0.12755405103840994
48,0.23751334316531725,0.015409525534712016,0.11015403878494434,0.11194977884566089
49,0.20877554975274887,0.0031893104170403787,0.12298772649952358,0.08259851283618493
50,0.20614800433626557,0.002911504613889622,0.14513957335073435,0.05809692637164161
51,0.2377057252908305,0.03103225752006252,0.16504397003648155,0.04162949773428644
52,0.2595846221648575,0.06689665148857701,0.1630701320455249,0.029617838630755604
53,0.24400219213037,0.0811037549795842,0.14543466399946087,0.01746377315132492
54,0.20488942367374874,0.07765608273192827,0.11928328967325687,0.007950051268563593
55,0.1919342405119409,0.08644224467278433,0.10268792691318494,0.0028040689259716126
56,0.21012249265574737,0.10853993152692024,0.09977729359519354,0.001805267533633606
57,0.24862051542702243,0.1330248727130624,0.11201321920773752,0.003582423506222503
58,0.27276997939295783,0.13716314453048492,0.12942376795152252,0.006183066910950401
59,0.28511281948498957,0.12300320671069671,0.15429830555573287,0.007811307218559991
60,0.27891939962368273,0.08936985887232629,0.18317062096429682,0.006378919787059614
61,0.26659378242444864,0.05067209444743696,0.21223171958809958,0.0036899683889121057
62,0.25775146215458866,0.020062665794707595,0.23479138691467297,0.002897409445208104
63,0.24588239440051,0.004671357518128891,0.2359216938076442,0.005289343074736904
64,0.2274877860454575,0.00036073290942090837,0.21481513792077167,0.012311915215264911
65,0.1944544714183299,0.0019277640578160712,0.17153176091304487,0.020994946447468937
66,0.17307374475117054,0.014079493141561598,0.13481309659114082,0.024181155018468115
