,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
BCUT2D_CHGHI,-0.36885902728094044,1.3713229683095196,1.707920260633038,1.8163774197303881,1.8787205104203872,2.1564047337721584,2.2215758209658603,1.9701983534279253,2.02430154101906,2.0368787243426056,2.1908598181049443,2.059732163006427,2.19302533356999,2.230286010069422,2.246735375273354,2.2489188974658143,2.170670199703781,2.2082571897899843,2.2256815655730833,2.2281644445812625,2.3394179521014666,2.3036260329372906,2.3381223478602933,1.7802023144113248,1.8580561085843441,1.9286336612992958,1.9531521706372608,2.0345134301279386,2.0574099284267984,2.063326999712748,2.1425545277044993,2.207115812029015,2.132722569729908,2.1990138326809294,2.2519225279680466,2.2876871104871195,2.0487172378734764,2.2695784443883396,2.3905032648652265,2.428909290222597
BCUT2D_CHGLO,-0.36885902728094044,-1.4896180528474854,-1.768355918186949,-1.8872133799801323,-2.1416108093674393,-2.338335952371792,-2.3793436648322968,-2.200960917327178,-2.2262825343906205,-2.2301456154556734,-2.309977981184792,-2.231752378554623,-2.21290721686841,-2.2632356736588797,-2.282945000431288,-2.2854492720938913,-2.3268554742159377,-2.361282670365375,-2.3733269119470655,-2.374498613184547,-2.2743154465768174,-2.4367095488995614,-2.4571873161515754,-1.7732338421035225,-1.8430827758811426,-1.9116251352673845,-1.9506833047652365,-1.8977441598643754,-1.9530353483556588,-1.9814277749275897,-1.8698801296872687,-1.9787276095176238,-1.8590777883057845,-1.9727699033824384,-2.0224549932674756,-2.021754332998785,-1.9550875581607572,-2.0670667170897716,-2.224850348887234,-2.496726044762676
BCUT2D_LOGPHI,-0.4806,1.1328780631543198,1.7533312959630643,1.9443443531018751,1.731158935243895,2.0268168882582716,2.119825334792422,1.8323172526783622,1.9449503312702041,2.0147506424395747,2.153745717189211,2.0449489534270993,2.1081164834035864,2.1395326210490135,2.162358185896842,2.1707584576135717,2.114976762678786,2.141683567401806,2.1619219075232343,2.1697097402972667,2.2534153416241796,2.24106225558364,2.2955752469838897,1.7113593967873537,1.7407458782714562,1.8500434730696471,1.9729540555021092,1.861840894402254,1.9127872711513683,1.988054843961853,2.0224668862790143,2.1743160097687766,2.1002281161843004,2.203051008912777,2.2978557128699015,2.3302830881697605,1.9231917065319355,2.298707790310699,2.506195716268304,2.542390761743671
BCUT2D_LOGPLOW,-0.4806,-2.4778668410473683,-2.4943660789863356,-2.495065688035184,-2.271258935243895,-2.465585400022071,-2.4968308050730172,-2.3291305584463973,-2.345367975387785,-2.3463465140539888,-2.410188239614667,-2.3267983145126996,-2.3469490863285083,-2.395984082215233,-2.408798698645688,-2.409463472861739,-2.4308488838597473,-2.4688627041238917,-2.478160240672632,-2.478573042951057,-2.412139328804246,-2.5372282801151784,-2.551373109597088,-2.2459777746679603,-2.2959535100452957,-2.3139974208822456,-2.315175746488466,-2.330850803267049,-2.3464367266569988,-2.3473800450426716,-2.324823488011858,-2.3193100065206065,-2.2996654913645562,-2.294202702625914,-2.320131122358053,-2.314704927271921,-2.088024169359142,-2.035315297651577,-2.2952126612610817,-3.0579268400007735
BCUT2D_MRHI,2.134,3.792548982138763,4.21333140017116,4.346388130599347,3.865530023564796,4.305180650855098,4.434466823274548,4.062835656277714,4.285980741986589,4.378235101248768,4.57690047580024,5.127404024945847,4.4625367393814965,4.486020012929779,4.508065720571144,4.517695573302807,4.471585490803611,4.490538016823289,4.50910877892148,4.51766456127124,4.599106062592983,4.5863815802132795,4.666103625264653,4.826478242017648,4.828455414192163,4.829318035672225,4.82949813921588,4.757102148056937,4.759205290719882,4.759649488431745,5.0468577261183745,5.526143590701946,5.714123706997309,5.752809817005636,5.761531386118782,5.7842232890013525,7.962419158054468,7.9666980494218045,7.946831048663043,7.618835536133728
BCUT2D_MRLOW,2.134,-0.3613773629983442,-0.3678389526822133,-0.3680136751933535,-0.8491300235647965,-0.9210985086338285,-0.9279708185755258,-0.8679434489973249,-0.8701053659570623,-0.8701301793609221,-0.8761252817527753,-0.8835036444159907,-0.8773704980507305,-0.8953713978808209,-0.8974021081840388,-0.8974247153705277,-0.8944577698424576,-0.9118276568431024,-0.9137646621356171,-0.9137857307877649,-0.9044644048312636,-0.9361800664212103,-0.9373613774116849,-0.6710886209360818,-0.6931404392372625,-0.696930914012819,-0.6969890424789297,-0.6985594359066111,-0.7022897554816891,-0.7023466992885389,-0.6828257821536687,-0.6653960214354813,-0.6518746432026862,-0.6336078352876703,-0.6659983074410013,-0.6480928475438181,1.370473035199464,1.3177362103815768,1.7154810244161072,-0.735294569662865
AvgIpc,0.0,0.9182958340544894,1.4056390622295665,1.690933805959686,0.7219280948873623,1.9460397819628557,2.0579401776765396,1.3516441151533922,1.5920001314822056,1.782088714449636,1.1431558784658322,1.8549845694438387,1.840725770865122,2.1695971448588303,2.330854871952875,2.468817141830863,1.6503097444942738,1.902158836343702,2.0268081738604655,2.1390908938602387,2.454036201523142,2.070462019119334,2.2365112663925557,1.6856161633204378,1.9034911933164034,2.029573889867405,2.1440159078922187,2.149738572139386,2.3062562576115897,2.4346590701418718,2.0726507842756843,2.4497435623369332,2.327753431560861,2.638396184688221,2.7317600087579756,2.9397887962212708,1.719973094021975,2.5083432320697017,2.5638813113805274,1.821871007983645
BalabanJ,0.0,1.6329931618554523,2.19060968716425,2.447472887876344,3.0237157840738176,3.824684203207495,4.1856116450973095,3.168489872670569,3.1117661943884265,3.0437584089734577,3.7464179312510324,2.6576609845322254,2.3997065821979304,2.399681801445976,2.218744749686202,2.0456250609680624,2.3278828794070434,2.3658119010911727,2.250453820403632,2.099065207168225,2.04093977448264,1.9432067804518802,1.812681308135432,3.0214653097240864,2.832085835007091,2.4265223465879537,2.157795777203053,3.040960568526769,2.6308250040284964,2.324450313027248,3.43614575474893,2.6903536328751176,2.9868268387646832,2.3799266159217667,2.324356724442318,2.0591862767003053,2.9923028831940854,2.121010632567224,2.2388084635451477,5.062665715038709
BertzCT,0.0,2.7548875021634682,11.119415478763749,23.360990398949916,19.11941547876375,47.45811190640113,80.1823291404663,33.69332843436965,51.897390567231454,71.28767654158642,69.72120767599533,208.0644283534882,58.58027134782354,72.45601115561732,92.90138860756123,114.17252007189917,68.45601115561732,82.56842503028857,103.44040467374955,125.08616632718032,79.62548782626678,99.3246918518097,160.07437636846674,134.10736969541455,145.73281445033504,169.34295735705518,193.41890295110636,200.68110964588848,225.46664681220207,250.59299942936838,178.40734682022938,455.48221461381985,387.57635439681366,626.9546097305906,662.1147187570205,921.7144573589595,25.651484454403228,523.7138976114098,563.2391420701314,118.7132413834305
Chi0,0.0,2.7071067811865475,4.121320343559642,5.535533905932738,4.5,7.328427124746191,10.156854249492381,5.207106781186548,6.621320343559642,8.035533905932738,7.707106781186548,8.319990956308912,5.328427124746191,6.035533905932739,7.4497474683058345,8.863961030678931,6.035533905932738,6.742640687119286,8.156854249492381,9.571067811865477,6.1568542494923815,7.571067811865477,9.855524862241651,5.112884175122364,5.819990956308912,7.234204518682008,8.648418081055103,6.8533711511285205,8.267584713501616,9.681798275874712,7.886751345948129,10.999635521070495,8.71517847069432,11.828062645816686,14.11251969619286,17.225403871315223,5.698670612749268,12.91600279455672,13.838652525367095,10.809401076758503
