nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
2686,5.31030264,8.07342976,1.02009029,9.717003983625657,16.397976129999996,4.61284142,0.9775651500000001,17.062460571342335,26.35621392,4.999314109999999,0.42541974000000016,26.829538492535207,4.64793515,8.45990245,0.46794487999999995,9.66396518168602
2687,5.25936151,8.11665189,1.14770872,9.7395152190586,16.45821606,4.62102441,0.99380472,17.123504030920547,26.39457011,4.9502312900000005,0.32277038999999985,26.856699384713327,4.67699254,8.445858770000001,0.47667438999999995,9.666126838402414
2688,5.20123444,8.11258774,1.18739518,9.70962547436963,16.46419809,4.64054649,0.90092872,17.12939470708559,26.43642821,4.9443287300000005,0.30096684000000007,26.896499849080115,4.7709956799999995,8.41636998,0.5874333,9.692407404807783
2689,5.11813963,8.125825859999999,1.26368188,9.686139121087493,16.51446787,4.5305215400000005,0.84596439,17.145522161859475,26.47296273,4.91057055,0.25207775999999993,26.925731225494747,4.84035523,8.50587487,0.6697952500000001,9.809565318280338
2690,5.0400347,8.18672208,1.33952263,9.706631190513304,16.477571079999997,4.42042566,0.9093462800000001,17.08442045751007,26.512096539999998,4.81543686,0.22936584000000004,26.946842185819946,4.99449076,8.58173328,0.65954219,9.951184851120741
2691,4.958307,8.1502289,1.4246585600000001,9.645760283213837,16.485511199999998,4.4319874200000005,0.8460152000000001,17.091820667646694,26.513464109999997,4.83190025,0.21158875,26.950989015940298,5.06964591,8.55014173,0.79023211,9.9714943736404
2692,4.92840752,8.0748199,1.50223653,9.578550605007786,16.551777819999998,4.415778629999999,0.87338843,17.152937277955235,26.51275361,4.92217459,0.17986403000000006,26.96639126298322,5.0325682700000005,8.58121586,0.80871213,9.980882943774839
2693,4.99956637,8.121970690000001,1.45378007,9.647566961114252,16.55916985,4.4291182099999995,0.9594812100000001,17.168104101258407,26.57629149,4.91704412,0.26423189999999996,27.02862206507114,5.01755527,8.6098966,0.75853076,9.994075708341542
2694,5.0529038,8.21268001,1.4405625599999998,9.749624108035231,16.553097689999998,4.41938869,0.93057812,17.158147195003483,26.637244629999998,4.85558137,0.32638330000000004,27.078146132585843,5.03124314,8.64887269,0.83636774,10.040712989531052
2695,5.03227035,8.24965627,1.49212265,9.777883382986445,16.589057309999998,4.37841082,0.9817607899999999,17.185201715194932,26.667362609999998,4.81884443,0.3290993099999999,27.101250830351177,5.04603495,8.69008988,0.83946117,10.083889422987426
2696,5.0319284699999995,8.26494699,1.50076038,9.79193211745692,16.69363509,4.3826633600000005,0.9788175100000001,17.287084032972373,26.73629332,4.80312917,0.3569121500000001,27.16664897626498,5.01072976,8.6854128,0.8788550199999999,10.06559458652755
