nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
3863,4.23783374,5.325207549999999,4.22886236,8.012511910648506,2.08791685,4.44622392,2.1650554,5.368032116554748,7.87316527,5.116299150000001,1.77710172,9.556219905603463,5.72324838,5.995282779999999,0.28670524,8.29344244122913
3864,4.31092176,5.3737393099999995,4.2563895800000004,8.098022774073518,2.0755551899999998,4.562119009999999,2.25580524,5.496318448648219,7.93697085,5.147317419999999,1.75716655,9.621747096054026,5.70160428,5.95893772,0.24341778999999986,8.250847370848742
3865,4.40269024,5.43152876,4.26802743,8.191534908875797,2.04881911,4.59174498,2.3232453299999998,5.538885318385208,8.020347919999999,5.152185569999999,1.7597468400000003,9.69369412796043,5.66647679,5.99196935,0.18503526000000003,8.249054124588552
3866,4.48147424,5.591067169999999,4.22028096,8.315913349991924,2.1136584999999997,4.577908549999999,2.34493544,5.560892119485266,8.07535594,5.0689125499999985,1.68996372,9.683038023892966,5.7075401999999995,6.082071169999999,0.18538180000000004,8.342779588562342
3867,4.58091832,5.775098659999999,4.205703489999999,8.486726049133646,2.0817053000000003,4.624187129999998,2.33219076,5.581730673396477,8.12898021,4.995607649999998,1.62084927,9.67799397620032,5.62976719,6.146519179999999,0.25266345999999995,8.338933712875258
3868,4.60302623,5.860230589999999,4.26262559,8.584877981809793,2.02602505,4.612612129999999,2.32061258,5.5467297492761345,8.10022293,5.020985389999999,1.61304034,9.665702506324024,5.523221749999999,6.268603849999999,0.3289726700000001,8.361195832266747
3869,4.6163194800000005,5.838853149999999,4.3114547,8.601816859178324,2.10804304,4.665503279999999,2.40596606,5.656804663063338,8.104779390000001,5.139318579999999,1.6031802,9.72986285519863,5.59650295,6.312668449999999,0.30230844,8.441683399765672
3870,4.66292886,5.871662139999999,4.33708715,8.661965526739609,2.1521859999999995,4.713181229999999,2.47551365,5.742312227383375,8.17110641,5.200763019999999,1.59734388,9.816640129123408,5.66036355,6.359243929999999,0.26422962000000005,8.517600376367499
3871,4.658848229999999,5.9207997699999995,4.30095664,8.675192491568486,2.1933334799999997,4.764402609999999,2.5150671300000003,5.816855392140169,8.168017769999999,5.222857899999999,1.5428604399999999,9.81708598678575,5.70250302,6.379255059999999,0.24302906999999996,8.559935685652654
3872,4.65010178,5.850646769999999,4.30973378,8.627126952012684,2.2670721200000004,4.825505349999999,2.5159969699999998,5.895367557091677,8.13031475,5.29717799,1.51788993,9.821715859838514,5.74728509,6.3223194099999995,0.27584688,8.548631476967808
3873,4.6669493,5.8317203,4.339346819999999,8.638246827362986,2.2705404400000004,4.78144117,2.48429589,5.84715825174223,8.116841359999999,5.266012959999999,1.5301016699999999,9.79567339588409,5.7204325,6.316292089999999,0.32494926000000013,8.5278652530881
3874,4.65781134,5.87367381,4.32978458,8.656921220302186,2.2881944800000005,4.65933373,2.50743704,5.764760645107666,8.11185918,5.18693959,1.51495342,9.74688081035309,5.74224232,6.401279669999999,0.3073941199999999,8.604895084785454
3875,4.68009561,5.933105169999999,4.34831267,8.718535138032337,2.18554287,4.572192089999999,2.5069066099999997,5.653858761565245,8.16053836,5.1233042399999995,1.51399982,9.753708428879424,5.66598562,6.48421732,0.32740623999999996,8.617172514521553
3876,4.6711388199999995,5.953404409999999,4.40192314,8.75439828173164,2.05968414,4.497942859999999,2.52488916,5.554174465992045,8.17200614,5.1285262,1.5314787399999998,9.768771287493434,5.56055146,6.5839877499999995,0.34555523999999993,8.624849891757517
3877,4.72029741,5.89464963,4.46997481,8.775464472114646,2.0647903700000003,4.452877209999999,2.5498372700000003,5.531107016037853,8.20814983,5.238568299999999,1.5607317799999998,9.861653266800445,5.55264279,6.68034072,0.35940576,8.694134033297985
3878,4.83467775,5.97573389,4.54580291,8.930163972011044,2.10086327,4.4886952099999995,2.5926928800000004,5.593216206934498,8.26617634,5.22997685,1.61241632,9.913738725854845,5.53236186,6.717015529999999,0.3406937099999998,8.708696663926089
3879,4.87414467,6.030996849999999,4.5258389999999995,8.978498088362013,2.07477152,4.468862239999999,2.62707773,5.583631791205691,8.249358899999999,5.212002159999999,1.6106625899999998,9.889950594198101,5.44998575,6.774136769999999,0.28809868000000005,8.699096188874268
3880,4.828882549999999,6.030182159999999,4.40884459,8.894892589753349,2.0600961900000003,4.402990009999999,2.63305112,5.528406238758651,8.213898369999999,5.186984979999998,1.5287464000000002,9.83412452488513,5.445112010000001,6.814177129999999,0.24704707000000004,8.726012091170677
3881,4.71620363,6.05023115,4.33563494,8.811674300665244,2.0677537200000002,4.37923428,2.6836365200000003,5.536714124566906,8.15776687,5.13872018,1.4698544399999998,9.752747175457618,5.5093169600000005,6.80971705,0.18214397999999998,8.761164083399796
3882,4.66885806,6.086446909999999,4.35262265,8.819772984945164,2.04492558,4.316693839999999,2.75670481,5.514978490031436,8.15786121,5.092405159999998,1.4980394999999997,9.73280083936672,5.53392873,6.862158229999999,0.09787834000000006,8.816074122403764
3883,4.61470945,6.06103173,4.39821253,8.796358473768285,2.02183478,4.308963229999999,2.8016439,5.523059707944219,8.1414251,5.116780979999999,1.5360669699999998,9.737748815435975,5.54855043,6.86884948,0.060501660000000124,8.830128283553542
3884,4.51221766,5.99750347,4.45099303,8.725909410312859,2.0100096100000004,4.359611899999999,2.85805854,5.587025431209427,8.09994545,5.165263859999999,1.55230323,9.73132634096022,5.597737400000001,6.8031554299999994,0.04063126000000006,8.81017813119499
3885,4.41913924,5.9710940699999995,4.41209452,8.639984610444104,2.0937174800000005,4.393603239999999,2.87814797,5.654302614276244,8.0594958,5.17409,1.47861708,9.690871392583093,5.73407404,6.75158083,0.05532946999999999,8.85813243017262
3886,4.34069647,5.98702581,4.33502884,8.571965873585146,2.14628702,4.42941027,2.87250599,5.69890462938167,8.03280556,5.18269457,1.40522452,9.662346719212865,5.83839611,6.740310109999999,0.05729832999999984,8.917507085214574
3887,4.2887078999999995,6.0385787099999995,4.2712287700000005,8.549903127759015,2.05388325,4.460061509999999,2.89646226,5.700884028044979,8.04244603,5.174659039999999,1.3574950899999998,9.659235334388049,5.8076213800000005,6.753176239999999,0.01727142000000015,8.906972197322862
3888,4.20529838,6.038491259999999,4.24192917,8.493637280059932,2.0085103,4.460201279999999,2.90444449,5.688875713074691,7.99669304,5.238620579999999,1.3336054099999999,9.652396000308174,5.79990496,6.816910559999999,0.0038792700000001012,8.950373298181916
3889,4.1423453100000005,6.046531259999999,4.27980922,8.487421982264884,2.0281342300000005,4.486205519999999,2.89476954,5.711309754538617,7.9491268900000005,5.284293709999999,1.37501862,9.643809129810343,5.83491581,6.84461945,0.010021059999999915,8.994173577752976
3890,4.10614445,6.124658289999999,4.27979277,8.525754369419506,1.9859032799999996,4.42412105,2.85710295,5.62847192135366,7.92535261,5.21290557,1.3915898299999998,9.587602449493318,5.805111439999999,6.913442809999999,0.031099989999999966,9.027512255729015
3891,4.04870821,6.0880778499999995,4.28358611,8.473832665280035,1.9585481100000002,4.327628359999999,2.82209676,5.525260902822902,7.904772339999999,5.182180379999999,1.42125154,9.558262142148978,5.81461224,6.942629869999999,0.04023780999999982,9.05601701051448
3892,3.9901523100000005,6.02220903,4.28426101,8.39900050362054,1.9199064700000004,4.31328529,2.82874438,5.503840987334193,7.894585810000001,5.141141419999999,1.45599917,9.532877519140465,5.8243399700000005,6.85006516,0.0004825400000001423,8.99145867005072
3893,3.9282015400000003,5.972713359999999,4.23331945,8.30813250889327,1.9193142799999996,4.265956099999999,2.7799866399999997,5.44155074138959,7.886754010000001,5.115013249999999,1.4615100399999998,9.513162510908106,5.87786675,6.8217705099999995,0.008177230000000035,9.004773028175206
3894,3.8872296700000004,5.97297881,4.174921,8.259358069988146,1.88234885,4.252059799999999,2.7204361199999996,5.38739477102551,7.90139604,5.083548299999999,1.4721846600000001,9.510092027551567,5.89651522,6.80446731,0.017699779999999832,9.003886960350087
3895,3.85649412,6.008939279999999,4.18085371,8.274021749593256,1.8335032799999995,4.299901769999999,2.6763844900000002,5.3864574116697925,7.88582964,5.055120119999999,1.5440104799999999,9.493393329104254,5.8628388,6.764157629999999,0.03954126000000002,8.951439590899055
3896,3.8364417800000004,5.96156691,4.26686358,8.27433927054402,1.8404606600000002,4.25352946,2.63802876,5.332823271652893,7.822913140000001,5.09617757,1.6577593399999997,9.4824660215744,5.82693202,6.80421502,0.028924519999999898,8.95830985353555
3897,3.90323658,5.989296169999999,4.31191015,8.348622254785504,1.8734927099999998,4.236308709999999,2.6593725,5.341212270131309,7.8293949000000005,5.0695938499999995,1.7123392100000001,9.483264832018943,5.79965103,6.8225813099999995,0.05980155999999992,8.954727468098612
3898,3.9021401499999997,6.01001741,4.284502509999999,8.348890272182372,1.8840676500000004,4.25437827,2.6332970600000003,5.346372487979991,7.81034182,5.04553405,1.6986980499999997,9.452218166125034,5.79226932,6.801173189999999,0.047492599999999996,8.933565703728986
3899,3.8506658700000003,6.015657219999999,4.18552841,8.27855105086863,1.8670771,4.246388199999999,2.6039002,5.319594523457938,7.7749511600000005,5.04242908,1.6185396899999998,9.407211451610955,5.79136239,6.811698099999999,0.036911479999999885,8.940943562913587
3900,3.86551212,5.983493389999999,4.10998791,8.22413385824834,1.93998919,4.311762379999999,2.68061217,5.435120466452627,7.7900688,5.061118189999999,1.56036267,9.419916183481245,5.86454587,6.732849199999999,0.13098693000000017,8.929799224344604
3901,3.89232241,5.958500929999999,4.09760116,8.212444358571473,1.9848118499999998,4.314158320000001,2.7329215099999997,5.479078396021207,7.79738479,5.020349540000001,1.5686574300000002,9.405519932454332,5.88987423,6.664692149999999,0.20397778,8.89664806734668
3902,3.94021947,6.010694269999999,4.05886355,8.25397773177857,1.9336478000000001,4.267621929999999,2.74190007,5.428591598723168,7.81652551,4.900476049999999,1.55770013,9.356236757377742,5.80995384,6.643548389999999,0.24073665,8.828944046025864
3903,3.9688651800000003,6.089390829999999,4.03195575,8.311993663824737,1.9376442399999996,4.26402765,2.7294802799999998,5.420927927917745,7.819520430000001,4.81123513,1.5311429899999998,9.307915023632289,5.78829949,6.636598309999999,0.2286675199999999,8.80915075072121
3904,3.9899619099999994,6.21036903,3.98568774,8.388932369069396,1.8998971199999999,4.25912741,2.69371486,5.385710269609982,7.81785425,4.74618756,1.4635614899999998,9.262135480759977,5.727789459999999,6.69742918,0.17158860999999992,8.814339020612056
3905,4.09492816,6.33167,3.94291414,8.509115908240581,1.8672029700000001,4.26644781,2.724214,5.395402280129501,7.90316492,4.691341609999999,1.4074981300000002,9.297835922427836,5.67543973,6.7565637999999995,0.18879798999999997,8.825951234476708
3906,4.17860941,6.413845279999999,3.89140134,8.587269197251977,1.85987502,4.325155079999999,2.79187565,5.473634185907269,7.97759037,4.666022989999999,1.3711342399999997,9.343111246197685,5.65885598,6.7547131899999995,0.27160855000000006,8.816040635453925
3907,4.20784458,6.4679644,3.80071299,8.601507932999741,1.8030027900000003,4.325805349999999,2.80824918,5.4634855581219455,8.01209956,4.625516109999999,1.3161504299999998,9.344591515824053,5.60725777,6.76767516,0.3236866199999999,8.794745010429434
3908,4.21500073,6.49101853,3.71216725,8.583690255518103,1.8445010599999994,4.30745249,2.8393837800000004,5.478907862345872,8.01040918,4.57285935,1.2686680499999998,9.310596999494797,5.63990951,6.7564253899999995,0.39588458000000015,8.809914184162457
3909,4.26444432,6.53855496,3.6175205999999998,8.603757412592781,1.8519833399999999,4.29160475,2.89621868,5.498708599684208,8.01129082,4.48476328,1.21450592,9.261150409639598,5.59882984,6.73171349,0.493204,8.76961300596203
3910,4.319067799999999,6.560972079999999,3.61013956,8.644871828906044,1.8103542400000001,4.2256221,2.89387721,5.432107317869536,7.97797864,4.42352333,1.24600293,9.206966119896343,5.46926508,6.758873309999999,0.52974058,8.710674716578302
3911,4.36350817,6.55788161,3.60342191,8.662024256598512,1.8486597699999994,4.216406769999999,2.90280607,5.442601590723605,7.90966836,4.419728069999999,1.2891690299999998,9.151983750304748,5.3948199599999995,6.76120291,0.5885531900000001,8.66973713837196
3912,4.45354103,6.542907969999999,3.5495062899999996,8.674253127072816,1.8776256099999995,4.23805641,2.87088037,5.452389766379628,7.87118931,4.48590858,1.2974027699999997,9.15217192198549,5.29527389,6.790760139999999,0.6187768499999999,8.633494868199348
3913,4.52055187,6.513352579999999,3.46604915,8.652898228395436,1.8993634499999996,4.303975609999999,2.88293775,5.517528218056146,7.797863230000001,4.583574609999999,1.27270953,9.134309864843402,5.17667481,6.7929515799999995,0.68959813,8.568412854059526
