Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz
57.0,0.57,0.7806067077395284,0.01731901827352555,-0.021220096140421238,0.804285921861614,-0.02626744023128172,0.704605990018112
58.0,0.58,0.7712180243844656,0.0074009830122373,-0.08300990428917358,0.8134637574753459,-0.0706983784295182,0.7252277038901119
59.0,0.59,0.8142032139132671,-0.0071707796279845215,-0.04084982810006504,0.8780685934589638,-0.08575489573177358,0.7764996804461116
60.0,0.6,0.8753843245032262,0.06312254759659479,-0.01236681279139737,0.877423427408514,-0.0724327077690518,0.7038691496199231
61.0,0.61,0.8509499419024349,0.012894884917836398,-0.03377084745679223,0.8824180802036414,-0.06649804136289587,0.7441625787003717
62.0,0.62,0.8520478449914004,0.007697916350191653,-0.03552574658971468,0.8892032091334736,-0.06122275691106307,0.7455317192799652
63.0,0.63,0.8667761354976046,0.010227608163378612,-0.06487458010597201,0.9040686542702984,-0.0918863017511307,0.7927106256621131
64.0,0.64,0.8192540509252293,0.023833490828289335,-0.03128792661794897,0.8996265587096344,-0.08390216939880227,0.7864548904404597
65.0,0.65,0.9309483273415557,0.04473620729406594,-0.05407840148992298,0.9602964986838894,-0.13900044314507473,0.7813044656565179
66.0,0.66,0.938499433175183,0.0686101736830609,-0.09289277010935867,0.9175734074021661,-0.047792456593881594,0.7224357542298429
67.0,0.67,0.9753814097063118,0.05876723722449404,-0.09055746572709238,0.9135429817087042,-0.05837021758402541,0.7563122644786812
68.0,0.68,1.022473076446001,-0.0018353887180156867,-0.01792149334704708,0.963101008263529,-0.08740291031840552,0.814575075042098
69.0,0.69,1.0390132533560699,0.0441479007682696,-0.037042684016793406,0.9698590015695767,-0.05492059124002936,0.8072982905968471
70.0,0.7,1.0484501634285968,0.015415969077640437,-0.06476361397982644,1.0405645120773308,-0.11204035189408708,0.8176605796373726
71.0,0.71,1.0407447869891875,0.017970892173317505,-0.03015079704547691,0.990434157810387,-0.08073359378264884,0.8120744083413824
72.0,0.72,0.9723005613292182,0.08782742092889341,-0.06727365035274731,1.1533296638851815,-0.12026110219226704,0.8675540473120266
73.0,0.73,1.0190675841453918,0.06087553715644442,-0.027514384913962332,1.0042978206950983,-0.05419891171849363,0.8654336494107253
74.0,0.74,1.1100759518586694,0.08947031464496352,-0.09766195451968658,1.1041970304830249,-0.06932803990727016,0.8530897436616446
75.0,0.75,1.0030783059738086,0.03305564379636698,-0.046662128931284415,1.062002332717368,-0.09059838240426946,0.8868367817882951
76.0,0.76,1.096807254612245,0.05698479757421192,-0.08619982177244247,1.0602964736590796,-0.06253942353384019,0.8263255274999008
77.0,0.77,1.1675198852456852,0.009362033096560416,-0.02902401655994077,1.1224288906328608,-0.10347250579471559,1.0376572226218692
78.0,0.78,1.1884091859658563,0.10159899746469389,-0.05347974643528359,1.1841706458562793,-0.1077318991152605,0.9081560398207846
79.0,0.79,1.175926451231175,-0.0006048663785228162,-0.07308863745969253,1.0949904827874877,-0.11492593872534361,0.9384864934835377
80.0,0.8,1.142773431399489,0.08777863738650138,-0.10405666023354096,1.068053060302556,-0.09993344688376844,0.9295428474460162
81.0,0.81,1.1773432664381955,-0.021706668940350952,-0.08818453650877885,1.1734998363892801,-0.056360015156426746,0.8914991201183555
82.0,0.82,1.1581263318051944,0.10720663001485066,-0.08178273642464641,1.2382840108949567,-0.07370816957739075,0.8963566883752839
83.0,0.83,1.2530845056856177,0.09739877789414658,-0.08210826747140938,1.206444218319285,-0.10981251344254253,0.9948005360977562
84.0,0.84,1.2337031621992647,0.030986921146436884,-0.07868684503777597,1.1709746938148704,-0.12970136804871926,1.135373868644206
85.0,0.85,1.2867620839708713,0.07899600364076644,-0.0703783654668603,1.2851801258428603,-0.04028476160374591,0.9671718278251145
86.0,0.86,1.3433228074851262,0.06296769041533408,-0.12090282004453816,1.2853000268609622,-0.005616998490779546,0.9968601322806369
87.0,0.87,1.2554399867951525,0.04339682566658317,-0.08331195501733532,1.2217187043867241,-0.12855816619825394,0.9750018994281608
88.0,0.88,1.3469063839840723,0.1147219720134726,-0.05809592954409499,1.2498905535022977,-0.05136123760994011,0.9477757883277823
89.0,0.89,1.3216574168825352,0.06696571230783202,-0.05882066261553178,1.214705697179213,-0.06491581794048276,0.96219280953117
90.0,0.9,1.3831295439261018,0.12964793784321335,-0.04039760900564662,1.4171721620405615,-0.08115753869599436,0.9183579582216307
91.0,0.91,1.443155224733971,0.03970686895912483,-0.07028395175816819,1.2591874659451099,-0.09345965870970031,1.0271723146476623
92.0,0.92,1.3122664862526714,-0.022413556330967643,-0.019558545350346523,1.4301359826467932,-0.00973382964224579,1.0068804601429493
93.0,0.93,1.3977716747903992,0.09213082024218,-0.021521316726878084,1.4460721267544483,-0.06977509222675247,0.9886091910562474
94.0,0.94,1.4002174850701874,0.12607553236437058,-0.10670522969314497,1.369210185727396,-0.10067471902866765,1.061080484239603
95.0,0.95,1.3162098005213003,0.10407807911253797,-0.10617194754160561,1.412221343663898,-0.08076075793385545,1.1319386127939763
