nstep,msd_oh,msd_ohx,msd_ohy,msd_ohz
56,0.9963151682029207,0.8337033807554877,0.12373895291963045,0.038872834527802554
57,1.0856805490687131,0.906983512600513,0.11580988878459025,0.06288714768360998
58,1.1470579184009566,0.9542796272694181,0.09579319027256243,0.09698510085897612
59,1.191289763110302,0.9796444945368075,0.06985678942892236,0.14178847914457218
60,1.238663797476173,1.0087410785826612,0.04891406338425757,0.18100865550925438
61,1.3068380239570734,1.0722901347382232,0.04331658172684963,0.1912313074920005
62,1.3394862203370996,1.138272238598495,0.0480497666946048,0.153164215044
63,1.3230869286271931,1.1781694431468186,0.05419245514085285,0.09072503033952166
64,1.2452181716211799,1.152829542600999,0.04717120506584893,0.04521742395433213
65,1.1645960862342801,1.0959238785622678,0.03472440312152242,0.03394780455049002
66,1.0951531274151192,1.0250667874518715,0.024919744870812135,0.04516659509243564
67,1.0305194168731533,0.9401494473380425,0.019269570909414394,0.07110039862569638
68,0.9869893481751352,0.8648843946703922,0.015691826299680373,0.1064131272050626
69,0.9831463781681105,0.8266145093865659,0.014381288482440052,0.14215058029910452
70,1.0222128641412773,0.8184421932162024,0.019182014550722472,0.18458865637435254
71,1.0975211237626958,0.8479226217605798,0.029047836981747583,0.22055066502036855
72,1.1267247140648748,0.8657291820395744,0.04077634684677156,0.22021918517852887
73,1.061091660977835,0.8244370689399287,0.04056198416800364,0.1960926078699026
74,0.9472333820930184,0.7510175198045295,0.023458196961276098,0.17275766532721296
75,0.8538830029880458,0.6610557824683576,0.004723550355048103,0.18810367016464002
76,0.8250007903831409,0.577552774565344,0.00035662622870250417,0.2470913895890944
77,0.8508830250518855,0.5053608243900227,0.015418807272800174,0.3301033933890625
78,0.905651126808172,0.45172936529642205,0.04998701476661758,0.40393474674513224
79,0.9620849746690558,0.4018526392855106,0.08260611760384014,0.47762621777970504
80,0.9835693551581829,0.35577178459056524,0.08083786808640014,0.5469597024812175
81,0.9284285847725843,0.2975082626085118,0.058328292486500184,0.5725920296775723
