Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz
39.0,0.39,46.285956742810704,1.265844099274452,-2.4637923745027566,32.32678072200719,-2.5868352018103202,5.8821338364690305
40.0,0.4,18.901113031450578,1.0674189376578258,-0.7635072435640317,16.908720765271042,-0.1945712129239461,0.8288031676521406
41.0,0.41,45.41469284211916,4.012744788447437,-2.4500289557929458,31.945736001786496,-2.3726000241969945,5.575377798978377
42.0,0.42,19.06964665408857,1.120138715820388,-0.48984652085822533,15.9942686302478,0.0019343257330511488,0.9304461420660993
43.0,0.43,42.344686107928425,1.6976190583852884,-2.2995146940526805,29.11077934154687,-2.2221573131114685,5.622735276594403
44.0,0.44,19.347945129520078,1.1649475884047322,-0.5713980081735215,17.48315940920549,0.17607257718063715,0.8965529505802616
45.0,0.45,42.48604450376082,2.9558457069428323,-3.2800610671501436,31.96445634033214,-2.1131954453917277,5.742029039364852
46.0,0.46,19.051765966125497,0.9787212144403834,-0.5461568990621423,19.11884156361062,-0.07963045051416699,0.8629949349761148
47.0,0.47,45.77831011230718,4.798972574992459,-1.7521217964600388,33.5028570387632,-1.8077108446230552,5.447489674542939
48.0,0.48,19.32872165286531,0.8762203483290208,-0.47059474440883464,17.235337701689744,-0.012492747489267044,0.7856569752982115
49.0,0.49,44.32422794870371,3.1865812712430692,-1.937653444194642,32.180297780192404,-2.0796246392604703,5.567452825351067
50.0,0.5,23.931470825637017,1.4504371589349312,-0.6818972394103295,18.19807579546224,-0.19351535082181584,1.042781436554791
51.0,0.51,43.577918874090855,4.429349025994569,-2.7455852901541467,34.96425116987492,-2.4771638593793823,5.366311790456745
52.0,0.52,23.17876101769843,1.2560960328352777,-0.01787915381992387,17.609199048752807,-0.0687691477106938,0.9580282305665252
53.0,0.53,46.86493071147359,3.6937710043772167,-2.5293721866098715,37.30759908861993,-2.1754270574383674,5.207459128799722
54.0,0.54,22.41410856826676,0.765628934141103,0.026896269292903376,18.751566857556405,-0.22299134079342237,0.991309067664792
55.0,0.55,43.68893219485802,6.193624755726432,-2.7247653879288696,36.11299349714539,-2.755357444150318,5.575694733924464
56.0,0.56,26.320885545715655,0.9338109553516093,-0.7283302877601121,21.17881723575334,0.10452000003058623,1.0830782364683804
57.0,0.57,41.22926548466111,2.8961951247431377,-3.0741388673337062,33.406817435736706,-2.664142147935724,5.760574294495906
58.0,0.58,29.950443493649455,1.2325269499016636,-0.6816193068481826,20.027983558313394,0.0850927516782674,1.0543954515394074
59.0,0.59,48.68541573991967,-0.2144830040133604,-1.099149478388817,34.48164350579482,-1.7315121823561368,5.446788211430641
60.0,0.6,24.02516811325703,1.8883842533136388,-0.48799338255357694,23.266208074857673,0.03300678116488383,0.965813920112444
61.0,0.61,52.5142926180045,3.408873291184917,-1.6748369010310127,36.61172745577408,-2.120812987304783,5.298554786203316
62.0,0.62,25.751760036949836,2.2568014126378784,-0.5556094164872961,20.377517091363295,0.4285186960750056,1.1700247931696142
63.0,0.63,44.58472156209736,2.2474258304919603,-2.789784958760767,37.9691571898847,-2.3028923432442703,5.410276666075278
64.0,0.64,24.51860764849273,1.5262481800924768,-0.6575101003773478,22.017387254988314,0.14337329261349227,1.0878694585191655
65.0,0.65,45.17264972830423,2.110328980203336,-2.636086950460138,38.72437001989363,-1.691261317978423,5.404467699273506
66.0,0.66,25.225666020261148,0.5970800176673919,-0.6736030999864159,20.129520743002132,0.2852549642534692,1.2494742739104312
67.0,0.67,44.26636055773236,3.7588537584811252,-1.9199740406017844,39.86174837971742,-1.8070732994409227,5.5345759019444545
68.0,0.68,29.420087248814134,2.436741655219657,-0.6092691762650659,24.546046873042425,0.14549939995954764,1.309505457841474
69.0,0.69,41.09937330934014,3.2112858872123877,-3.5048445032556073,41.96520672202247,-2.144871315823345,5.5624021811691495
70.0,0.7,26.53046392308288,1.924139603386472,-0.7905753730637117,26.3184032991966,0.12249971793722349,1.3116579629592728
71.0,0.71,51.87125365331888,4.252807646765034,-2.712671589886096,43.83980857970326,-1.3352343195175274,5.433710166227291
72.0,0.72,29.141668402599233,1.6131800917899302,-0.5284436216828464,27.48615279610301,0.0034833796661160516,1.203194814595357
73.0,0.73,44.315477283607265,3.872197210752326,-1.6943302067198696,40.49947462100953,-2.8927577037051915,5.425968254034773
74.0,0.74,27.89708513756292,1.7188134827294834,0.10551906038865429,25.196470249399724,-0.08699373583462323,1.2971904366161284
75.0,0.75,52.67740501847159,3.2152150599892355,-1.611253208951004,38.89726300762688,-1.7659819553264737,5.505560106434081
76.0,0.76,32.67569960786026,2.5497545369234174,-1.2509572679597731,27.591212978624203,0.4387470898480968,1.5278389261881213
77.0,0.77,53.57715883721411,2.476684655912133,-2.2316738842983694,38.60533633441368,-2.428534412300578,5.280147566149883
78.0,0.78,30.765554621621362,2.9700077378402874,-0.7995152613037954,30.36932473897678,0.33233039230482725,1.345105092508129
79.0,0.79,45.81313772708588,4.430145851434255,-1.7387670521830985,45.822670350178235,-2.5232219265829143,5.287180324309503
80.0,0.8,32.12350172412405,2.350321796051296,-1.004242401718622,27.825287903833065,-0.0941187286834176,1.5139302666794285
81.0,0.81,49.39542514782881,4.751116582092718,-2.0061898479603886,40.778802122953024,-1.7298040071263212,5.147904725251972
82.0,0.82,30.4594937356055,1.6033677508634077,-0.8784844681906343,30.47901150715304,-0.03522087607441194,1.3032480764144139
83.0,0.83,52.60689251536731,3.459201002897273,-2.503322520716673,42.30315211892131,-1.9998569433900202,5.433194774345077
84.0,0.84,30.15743839898931,2.2905316896261465,-0.8592619319486173,30.332559336602962,0.22540464264219245,1.5199429729462641
85.0,0.85,48.34910838146889,6.54520046031784,-2.28042667800622,41.345968238429215,-1.8915215196327908,4.854429875369294
86.0,0.86,36.055936208866186,1.3024339358395467,-0.1530449333502084,29.822991461738134,-0.062486362485316194,1.5854433625741173
87.0,0.87,46.615039358127966,4.749350370993757,-3.8928933056130255,44.803636939849696,-2.518373517840084,5.42216700416731
88.0,0.88,31.555521878618272,0.21828637053250466,-0.6966315762442366,31.37317940188533,0.23383422834189174,1.5727773312652968
89.0,0.89,54.762500074965786,7.619686429342302,-1.9632345074107715,42.26985589091364,-2.2281300167765954,5.657951142552315
90.0,0.9,31.056200196133055,2.2728329034726595,-0.4276537380852463,32.62695780813563,0.014242342498864925,1.4922662531290996
91.0,0.91,48.861746361318076,10.229042443548762,-2.4299098138003083,43.27661448921711,-3.3605735751437744,5.491076125252829
92.0,0.92,30.24287626125475,4.152972537485982,-1.2030503584940562,32.75158924906628,-0.20498363287868904,1.5185526109837826
93.0,0.93,44.404148935422114,2.9026474713960306,-3.0574235644678804,43.921109560869006,-1.6620652007270245,5.405001830690025
94.0,0.94,34.03202042530259,2.193995982090722,0.2120400899448869,30.49923904366696,0.1928418897766673,1.7292281763578137
95.0,0.95,49.71195393807243,6.226721713384151,-3.222848574438395,53.92816139193715,-2.1635311362493836,5.334875385806557
96.0,0.96,35.796097575641085,0.95208286215082,-0.5243269456478453,32.834565145559,0.2230811891881182,1.564593849736512
97.0,0.97,54.99087256801099,-0.4408139246447801,-2.243349480702197,43.258888734931645,-1.4814739501923102,5.256084054407121
98.0,0.98,36.85054246335227,2.022074945823397,-0.7188832909271653,34.89372920910073,0.22058991486979604,1.8083780006922872
99.0,0.99,57.697953644935126,3.234175313052493,-2.5559545920017626,41.08169998723307,-3.206299867324952,5.230528333574822
100.0,1.0,31.579872460563767,3.1994914250013204,-0.8455415916492022,35.47459601023676,0.31454322838253357,1.7337813703926372
101.0,1.01,57.360957591210415,3.111906033515804,-1.7963056304453067,51.28461117311511,-1.077111825987069,5.22296108255697
