MD Temperature:                      0.0009927106 H          313.4728 K
MD Temperature:                      0.0009992978 H          315.5529 K
MD Temperature:                      0.0009883144 H          312.0846 K
MD Temperature:                      0.0009688370 H          305.9342 K
MD Temperature:                      0.0009585839 H          302.6965 K
MD Temperature:                      0.0009609335 H          303.4384 K
MD Temperature:                      0.0009647600 H          304.6467 K
MD Temperature:                      0.0009642358 H          304.4812 K
MD Temperature:                      0.0009656072 H          304.9143 K
MD Temperature:                      0.0009716269 H          306.8151 K
MD Temperature:                      0.0009728005 H          307.1858 K
MD Temperature:                      0.0009632598 H          304.1730 K
MD Temperature:                      0.0009514083 H          300.4306 K
MD Temperature:                      0.0009452007 H          298.4704 K
MD Temperature:                      0.0009404708 H          296.9768 K
MD Temperature:                      0.0009298677 H          293.6286 K
MD Temperature:                      0.0009153112 H          289.0321 K
MD Temperature:                      0.0009056517 H          285.9818 K
MD Temperature:                      0.0009039086 H          285.4314 K
MD Temperature:                      0.0009039310 H          285.4385 K
MD Temperature:                      0.0009018168 H          284.7709 K
MD Temperature:                      0.0009012501 H          284.5919 K
MD Temperature:                      0.0009032964 H          285.2381 K
MD Temperature:                      0.0009024136 H          284.9593 K
MD Temperature:                      0.0008953229 H          282.7203 K
MD Temperature:                      0.0008873867 H          280.2142 K
MD Temperature:                      0.0008872095 H          280.1583 K
MD Temperature:                      0.0008963540 H          283.0459 K
MD Temperature:                      0.0009068217 H          286.3513 K
MD Temperature:                      0.0009119971 H          287.9856 K
MD Temperature:                      0.0009165230 H          289.4147 K
MD Temperature:                      0.0009273194 H          292.8240 K
MD Temperature:                      0.0009407981 H          297.0802 K
MD Temperature:                      0.0009497230 H          299.8985 K
MD Temperature:                      0.0009540467 H          301.2638 K
MD Temperature:                      0.0009587637 H          302.7533 K
MD Temperature:                      0.0009669430 H          305.3361 K
MD Temperature:                      0.0009759516 H          308.1808 K
MD Temperature:                      0.0009805061 H          309.6190 K
MD Temperature:                      0.0009791549 H          309.1923 K
MD Temperature:                      0.0009777325 H          308.7432 K
MD Temperature:                      0.0009820397 H          310.1032 K
MD Temperature:                      0.0009885810 H          312.1688 K
MD Temperature:                      0.0009908213 H          312.8763 K
MD Temperature:                      0.0009899671 H          312.6065 K
MD Temperature:                      0.0009934986 H          313.7217 K
